1528983614 , 3.185223893660319
1528983620 , 4.4226930717902455
1528983629 , 7.640436630836839
1528983657 , 11.176338918313121
1528983707 , 22.60552250636971
1528983724 , 34.041104606618774
1528983751 , 37.941700741550044
1528983770 , 50.065360420703584
1528983785 , 57.38796036380539
1528983812 , 64.15187216179149
1528983874 , 74.25414386272158
1528983893 , 85.83800501109896
1528983923 , 94.35371960170036
1528983956 , 105.66176416096519
1528983976 , 114.72460353242965
1528983983 , 119.66345054647795
1528983983 , 119.5069302969928
1528984005 , 122.3956559192917
1528984017 , 124.38417904750608
1528984026 , 126.0591029750529
1528984034 , 130.13325878956584
1528984057 , 134.86706036499297
1528984060 , 136.0208633003585
1528984072 , 145.38709895475716
1528984101 , 152.5757009501473
1528984113 , 159.9272433702672
1528984180 , 168.14701243529618
1528984226 , 183.89687849872521
1528984237 , 192.1423896918131
